"-- Please select --","-- Por favor seleccione --"
"WARNING:","ADVERTENCIA:"
"Currency Update Warnings","Advertencias de la actualización de moneda"
"Base currency (Currency will be used for all online payment transactions)","Base currency (Currency will be used for all online payment transactions)"
"Currency Setup","Configuración de la moneda"
"Continue &raquo;","Continuar &raquo;"
"Invalid country code: %s","El código del país es inválido: %s"
"Invalid Import Service Specified","El servicio de importación especificado es inválido"
"Error Email Recipient","Error en el destinatario del correo electrónico"
"Error Email Sender","Error en el remitente del correo electrónico"
"Error Email Template","Error en la plantilla del correo electrónico"
"FATAL ERROR:","ERROR GRAVE:"
"State/Province","Estado/Provincia"
"Frequency","Frecuencia"
"Enabled","Habilitado"
"Start Time","Hora de inicio"
"Country and Format Type combination should be unique","La combinación del país y el tipo de formato debe ser única"
"Invalid target currency","La moneda de destino es inválida"
"Currency","Moneda"
"Default display currency","Moneda mostrada por defecto"
"Installed Currencies","Monedas instaladas"
"Allowed currencies","Monedas permitidas"
"Unable to initialize import model","No es posible inicializar el modelo de importación"
"Cannot retrieve rate from %s","No se puede recuperar la tasa desde %s"
"Currency Options","Opciones de monedas"
"Country","País"
"Scheduled Import Settings","Se han programado las configuraciones de importación"
"Invalid rates received","Se recibieron tasas inválidas"
"Select Your Currency","Seleccione su moneda"
"Service","Servicio"
"Your current currency is: %s","Su moneda actual es: %s"
"Undefined rate from ""%s-%s""","Tasa indefinida desde ""%s-%s"""
