"%d Review(s)","%d Commentaire(s)"
"%s Review(s)","%s Commentaire(s)"
"(Posted on %s)","(Posté le %s)"
"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Product Review (submitted on %s):","<strong>Commentaire</strong> (posté le %s):"
"Your Review (submitted on %s):","<strong>Votre commentaire</strong> (posté le %s):"
"Buy %s for %s","Acheter %s pour <strong>%s</strong>"
"Administrator","Administrateur"
"Add to Compare","Ajouter au comparateur"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste-cadeaux"
"Add Items to Cart","Ajouter l'article au panier"
"Add New Review","Ajouter nouveau commentaire"
"Add Your Review","Ajoutez votre commentaire"
"Summary Rating","Aperçu des évaluations"
"Are you sure you want to do this?","Êtes-vous certain de vouloir faire cela ?"
"Edit Review '%s'","Éditer le commentaire '%s'"
"Customer","Client"
"Review","Commentaire"
"Product Reviews","Commentaires"
"Customer Reviews","Commentaires des clients"
"Pending Reviews","Commentaires en attente"
"Created On","Créé le"
"Review Details","Détail du commentaire"
"Availability: Out of stock.","Disponibilité: épuisé"
"Availability: In stock.","Disponibilité: en stock"
"Are you sure?","Etes-vous certain ?"
"Detailed Rating","Evaluation détaillée"
"Product Rating","Evaluation du produit"
"Product Rating:","Evaluation du produit:"
"Average Customer Rating","Evaluation moyenne"
"Average Customer Rating:","Evaluation moyenne des clients:"
"Rating:","Evaluation:"
"ID","ID"
"Unable to post review. Please, try again later.","Impossible de poster le commentaire. Veuillez réessayer ultérieurement."
"Guest","Invité"
"My Product Reviews","Mes commentaires"
"My Recent Reviews","Mes derniers commentaires:"
"Update status","Mettre à jour le statut"
"Name","Nom (usage interne)"
"Name In Store","Nom dans le magasin."
"Product Name","Nom produit"
"New Review","Nouveau commentaire"
"OR","OU"
"Review by %s","par <em>%s</em>"
"Posted By","Posté par"
"Submit Review","Poster le commentaire"
"Price","Prix"
"Product","Produit"
"Nickname","Pseudo"
"Qty","Qté"
"How do you rate this product?","Quelle évaluation donneriez-vous à ce produit ?"
"Write Your Own Review","Rédigez votre propre commentaire"
"Summary of Your Review","Résumé de votre commentaire"
"Back","Retour"
"Back to Product Reviews","Retour aux commentaires"
"Back to Main Product Info","Retour à la fiche du produit"
"Back to My Reviews","Retour à mes commentaires"
"Save Review","Sauvegarder le commentaire"
"SKU","SKU"
"Product SKU","SKU produit"
"Summary of review","Sommaire des commentaires"
"Summary of Review","Sommaire des commentaires"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Status","Statut"
"Delete","Supprimer"
"Delete Review","Supprimer le commentaire"
"Title","Titre"
"All Reviews","Tous les commentaires"
"Type","Type"
"Please select a product","Veuillez sélectionner un produit"
"Please select one of each of the ratings above","Veuillez sélectionner une évaluation de chaque parmi les suivantes"
"Visible In","Visible dans"
"Visible Ins","Visible dans"
"View Details","Voir les détails"
"View All Reviews","Voir tous les commentaires"
"Your Rating:","Votre évaluation:"
"Your review has been accepted for moderation","Votre commentaire a été envoyé et attend d'être validé"
"You're reviewing: %s","Vous commentez : %s"
"You have submitted no reviews.","Vous n'avez posté aucun commentaire"
"Store Views","Vues magasin"
"Zoom Out","Zoom arrière"
"Zoom In","Zoom avant"
