"API Login ID","API Login ID"
"Authorize.net","Authorize.net"
"Merchant's email","Email Εμπόρου"
"Sort order","Κανόνας Ταξινόμησης"
"Fraud order status","Κατάσταση Παραγγελίας Εξαπάτησης"
"Test mode","Κατάσταση δοκιμών"
"New order status","Κατάσταση νέας παραγγελίας"
"Transaction key","Κλειδί Συναλλαγών"
"Password","Κωδικός"
"Payment from Specific countries","Πληρωμή από Συγκεκριμένες χώρες"
"Payment from applicable countries","Πληρωμή από εφαρμόσιμες χώρες"
"Payment authorization error.","Σφάλμα έγκρισης πληρωμής"
"Error in capturing the payment","Σφάλμα στη σύλληψη της πληρωμής"
"Error in payment gateway","Σφάλμα στη πύλη πληρωμής"
"Error in authorizing the payment","Σφάλμα στην έγκριση πληρωμής"
"Error in retrieving the transaction","Σφάλμα στην ανάκτηση της συναλλαγής"
"Error in refunding the payment","Σφάλμα στην επιστροφή χρηματων της πληρωμής"
"Error in refunding the payment.","Σφάλμα στην επιστροφή χρηματων της πληρωμής."
"Gateway request error: %s","Σφάλμα στο αίτημα πύλης: %s"
"Partner","Συνεργάτης"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Title","Τίτλος"
"User","Χρήστης"
"Invalid transaction id","Μη έγκυρο id συναλλαγών"
"Invalid amount for authorization","Μη έγκυρο ποσό για έγκριση"
"Invalid amount for authorization.","Μη έγκυρο ποσό για έγκριση."
"Authorize and Capture","Έγκριση και Σύλληψη"
"Authorize Only","Έγκριση Μόνο"
"Payment authorization transaction has been declined.","Η συναλλαγή έγκρισης πληρωμής ακυρώθηκε"
"Voided transaction","Η συναλλαγή τέθηκε ως κενή"
"Email customer","Αποστολή Email στο πελάτη"
"Debug","Αποσφαλμάτωση"
"Merchant Login","Είσοδος Εμπόρου"
"Payment Action","Ενέργεια Πληρωμής"
"Enabled","Ενεργοποιημένο"
"Credit Card Verification","Επαλήθευση Πιστωτικής Κάρτας"
"PayflowPro","PayflowPro"
"TENDER","TENDER"
"URL","URL"
"VERBOSITY","VERBOSITY"
