"-- Please select --","-- Votre choix --"
"Enabled","Activé"
"Currency Update Warnings","Alertes de mise à jour des devises"
"WARNING:","ATTENTION:"
"State/Province","État/Province"
"Invalid country code: %s","Code de pays non valide: %s"
"Currency Setup","Configuration des devises"
"Continue &raquo;","Continuer &raquo;"
"Error Email Recipient","Destinataire du courriel d'erreurs"
"Currency","Devise"
"Default display currency","Devise affichée par défaut"
"Invalid target currency","Devise cible invalide"
"Base currency (Currency will be used for all online payment transactions)","Devise de base (cette devise sera utilisée pour toutes les transactions de paiement en ligne)"
"Allowed currencies","Devises autorisées"
"Installed Currencies","Devises installées"
"FATAL ERROR:","ERREUR FATALE:"
"Error Email Sender","Expéditeur du courriel d'erreurs"
"Frequency","Fréquence"
"Error Email Template","Gabarit du courriel d'erreurs"
"Start Time","Heure de début"
"Unable to initialize import model","Impossible d'initialiser le modèle d'import"
"Cannot retrieve rate from %s","Impossible de récupérer le taux de %s"
"Country and Format Type combination should be unique","La combinaison Pays et Type de format doit être unique"
"Currency Options","Options de devise"
"Scheduled Import Settings","Paramètres de planification d'import"
"Country","Pays"
"Select Your Currency","Sélectionnez votre devise"
"Service","Service"
"Invalid Import Service Specified","Service d'import spécifié non valide"
"Undefined rate from ""%s-%s""","Taux indéfini pour ""%s-%s"""
"Invalid rates received","Taux reçus non valides"
"Your current currency is: %s","Votre devise actuelle est: %s"
