"%s was successfully added to your shopping cart.","%s προστέθηκε επιτυχώς στο καλάθι σας."
"&laquo; Back to Shopping Cart","&laquo; Επιστροφή στο Καλάθι"
"&laquo; Back to Billing Information","&laquo; Επιστροφή, στα Στοιχεία Χρέωσης"
"&laquo; Back to Select Addresses","&laquo; Επιστροφή, στην Επιλογή Διευθύνσεων"
"* Required Fields","* Υποχρεωτικά Πεδία"
"Street Address 2","2η Διεύθυνση"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Place Order","Κάντε Παραγγελία"
"Some of the products you requested are unavailable","Κάποια από τα προϊόντα που επιλέξατε δεν είναι διαθέσιμα"
"Some of the products you requested are not available in the desired quantity","Κάποια από τα προϊόντα που επιλέξατε δεν είναι διαθέσιμα στην επιθυμητή ποσότητα"
"My Cart (%s items)","Καλάθι (%s προϊόντα)"
"Shopping Cart","Καλάθι Αγορών"
"My Cart","Καλαθι Αγορων"
"Close","Κλείσιμο"
"Discount Codes","Κωδικοί Έκπτωσης"
"Password","Κωδικός"
"Your order number is %s","Ο αριθμός της παραγγελίας σας είναι %s"
"Coupon code ""%s"" is not valid.","Ο κωδικός Κουπονιού ""%s"" δεν είναι έγκυρος."
"Coupon code was canceled successfully.","Ο κωδικός κουπονιού ακυρώθηκε επιτυχώς."
"Coupon code was applied successfully.","Ο κωδικός του κουπονιού εφαρμόστηκε επιτυχώς."
"My Account","Ο Λογαριασμός μου"
"Checkout","Ολοκλήρωση Αγορών"
"Checkout with Multiple Addresses","Ολοκλήρωση Αγορών με περισσότερες διευθύνσεις"
"Checkout as Guest","Ολοκλήρωση Αγορών ως Επισκέπτης"
"Checkout as a Guest or Register","Ολοκληρωστε τις Αγορες σας ως Επισκεπτης ή Εγγραφειτε"
"Forgot an Item?","Ξεχάσατε ένα αντικείμενο;"
"Forgot your password?","Ξεχάσατε τον κωδικό;"
"New Address","Νέα Διεύθυνση"
"Allow Guest Checkout","Να Επιτρέπεται Αγορά από Επισκέπτες"
"State/Province","Νομός/Δήμος"
"Product","Προϊόν"
"Items","Προϊόντα"
"Default Billing","Προκαθορισμένη Χρέωση"
"Default Shipping","Προκαθορισμένη Αποστολή"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"Add to Wishlist","Προσθήκη στα Επιθυμητά"
"Add to Compare","Προσθήκη στη Σύγκριση"
"Data saving problem","Πρόβλημα Αποθήκευσης Δεδομένων"
"Get a Quote","Πάρτε μια Εκτίμηση"
"Back","Πίσω"
"Order Success","Παραγγελία επιτυχής"
"Please <a href=""%s"">continue shopping</a>.","Παρακαλούμε <a href=""%s"">συνεχίστε τις αγορές σας</a>."
"Please log in below:","Παρακαλούμε συνδεθείτε παρακάτω:"
"Please enter a coupon code.","Παρακαλούμε εισάγετε ένα κωδικό κουπονιού."
"Please enter a coupon code.","Παρακαλούμε εισάγετε ένα κωδικό κουπονιού."
