"1 star","o stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add New Rating","Adaugă vot nou"
"Assigned Options","Opţiuni atribuite"
"Be the first to review this product","Fiţi primul care scrie o recenzie despre acest produs"
"Default Value","Valoare implicită"
"Delete Rating","Şterge vot"
"Edit Rating","Editează vot"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Dacă nu specificaţi un titlu de vot pentru magazin, va fi folosită valoarea implicită."
"Manage Ratings","Administrare voturi"
"New Rating","Vot nou"
"Option Label","Opţiune etichetă"
"Option Title","Opţiune titlu"
"Option Title:","Opţiune titlu:"
"Please select one of each ratings above","Vă rugăm să selectaţi câte unul din fiecare vot de mai sus"
"Rating Information","Informaţii vot"
"Rating Name","Nume vot"
"Rating Options","Opţiuni vot"
"Rating Title","Titlu vot"
"Rating Visibility","Vizibilitate vot"
"Rating isn't Available","Votarea nu este disponibilă"
"Rating with the same title","Vot cu acelaşi titlu"
"Save Rating","Salvează vot"
"Visible In","Vizibil în"
