"ID","ID"
"Catalog Price Rule","Κανόνας Τιμής Καταλόγου"
"Catalog Price Rules","Κανόνες Τιμής Καταλόγου"
"Catalog","Κατάλογος"
"Status","Κατάσταση"
"Category","Κατηγορία"
"Rule was successfully saved","Ο κανόνας αποθηκεύτηκε επιτυχώς"
"Rule was successfully deleted","Ο κανόνας διαγράφηκε επιτυχώς"
"Customer is new buyer: %s","Ο πελάτης είναι νέος αγοραστής: %s"
"Customer registered: %s","Ο πελάτης εγγράφηκε: %s"
"Rules were successfully applied","Οι κανόνες εφαρμόστηκαν επιτυχώς"
"Customer Groups","Ομάδες πελατών"
"New Rule","Νέος Κανόνας"
"Yes","Ναι"
"Add New Rule","Προσθήκη Νέου Κανόνα"
"Promotions","Προσφορές/Διαφημίσεις"
"Priority","Προτεραιότητα"
"Order Credit Memos","Παραγγελία Πιστωτικών Υπομνημάτων"
"Order Gift Messages","Παραγγελία Μηνυμάτων Δώρων"
"Stop further rules processing","Παύση περαιτέρω επεξεργασίας κανόνων"
"Credit Memos","Πιστωτικά Υπομνήματα"
"Rule Information","Πληροφορίες Κανόνα"
"Description","Περιγραφή"
"Description: %s","Περιγραφή: %s"
"Attribute Set","Σύνολο Χαρακτηριστικών"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Conditions","Συνθήκες"
"Conditions (leave blank for all products)","Συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Invoices","Τιμολόγια"
"Order Invoices","Τιμολόγια παραγγελιών"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","Υπάρχουν κανόνες που έχουν αλλάξει αλλά δεν έχουν εφαρμοστεί. Για να δείτε άμεσο αποτέλεσμα στον κατάλογο, παρακαλώ πατήστε Εφαρμογή Κανόνων"
"Product Attribute","Χαρακτηριστικό Προϊόντος"
"To Date","Μέχρι Ημερομηνία"
"Gift Messages","Μηνύματα Δώρων"
"Rule Name","Όνομα Κανόνα"
"Name: %s","Όνομα: %s"
"NOT LOGGED IN","ΜΗ ΣΥΝΔΕΜΕΝΟΣ"
"No","Όχι"
"Start at: %s","Έναρξη στις: %s"
"Date Start","Έναρξη την ημερομηνία"
"The page you are trying to save no longer exists","Η σελίδα που προσπαθείτε να αποθηκεύσετε πλέον δεν υπάρχει"
"Date From","Ημερομηνία από"
"Date Expire","Ημερομηνία λήξης"
"Date To","Ημερομηνία ως"
"Unable to find a page to delete","Αδύνατο να βρεθεί σελίδα για διαγραφή"
"Unable to apply rules","Αδύνατον να γίνει εφαρμογή των κανόνων"
"Inactive","Ανενεργό"
"This rule no longer exists","Αυτός ο κανόνας πλέον δεν υπάρχει"
"Save Rule","Αποθήκευση Κανόνα"
"Save and Apply","Αποθήκευση και εφαρμογή"
"Shipments","Αποστολές"
"Order Shipments","Αποστολές παραγγελιών"
"From Date","Από Ημερομηνία"
"General Information","Γενικές πληροφορίες"
"Delete Rule","Διαγραφή Κανόνα"
"Actions","Ενέργειες"
"Update product's %s %s: %s","Ενημέρωση προϊόντος %s %s: %s"
"Active","Ενεργό"
"Apply Rules","Εφαρμογή Κανόνων"
"Options","Επιλογές"
"Edit Rule '%s'","Επεξεργασία Κανόνα '%s'"
"Edit Rule","Επεξεργασία κανόνα"
"Expire at: %s","Λήξη στις: %s"
"Comments History","Ιστορικό Σχολίων"
"Order History","Ιστορικό παραγγελιών"
"Websites","Ιστότοποι"
