"Product stock alert","Alerta d'existència del producte"
"Alert Email Sender","Alerta de correu electrònic"
"Product price alert","Alerta de preu del producte"
"Product Alerts","Alertes del producte"
"Product Alerts Run Settings","Configuracions d'execució d'alertes del producte"
"Unsubscribe from all stock alerts","Donar-se de baixa de totes les alertes d'existències"
"Unsubscribe from all price alerts","Donar-se de baixa de totes les alertes de preus"
"Product alerts Cron error","Error de Cron de les alertes del producte"
"Error Email Template","Error de la plantilla del correu electrònic"
"Error Email Recipient","Error del correu electrònic del destinatari"
"Error Email Sender","Error del correu electrònic del remitent"
"Frequency","Freqüencia"
"Start Time","Hora de inici"
"You will no longer receive stock alerts","Ja no rebreu alertes d'existència"
"You will no longer receive stock alerts for this product","Ja no rebreu alertes d'existència per a aquest producte"
"You will no longer receive price alerts for this product","Ja no rebreu alertes de preu per a aquest producte"
"Alert subscription was saved successfully","La subscripció de l'alerta ha estat desada amb èxit"
"Alert subscription was deleted successfully","La subscripció de l'alerta ha estat eliminada amb èxit"
"Not enough parameters","No hi ha suficients paràmetres"
"Allow alert when product price changes","Permet alerta quan el preu del producte canviï"
"Allow alert when product comes back in stock","Permet alerta quan un producte torni a existència"
"Price alert Email Template","Plantilla de correu d'alerta de preu"
"Stock alert Email Template","Plantilla de correu electrònic d'alerta d'existència"
"Click here not to receive alerts for this product","Premeu aquí per a no rebre alertes per a aquest producte"
"Special price:","Preu especial:"
"Price:","Preu:"
"Product not found","Producte no trobat"
"Sign up to get notified when this product is back in stock","Registreu-vos per a ser notificat quan aquest producte es trobi de nou en existència"
"Sign up for price alert","Registreu-vos per alerta de preu"
"Please try again later","Si us plau intenteu-ho més tard"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Vostè està rebent aquesta notificació perquè es va subscriure per a rebre alertes quan canviïn els preus dels següents productes:"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Vostè està rebent aquesta notificació perquè es va subscriure per a rebre alertes quan torni a haver existència dels següents productes:"
