"--Select--","--Alegeţi--"
"Add New Option","Adaugă opţiune nouă"
"Add Selection","Adaugă selecţie"
"As low as","Atât de jos ca"
"Bundle Items","Produse în grup"
"Bundle Product","Produs în grup"
"Buy %1$s with %2$s discount each","Cumpără %1$s cu %2$s discount fiecare"
"Checkbox","Bifă"
"Choose a selection...","Alegeţi o selecţie..."
"Close","Închide"
"Default","Implicit"
"Default Qty","Cantitate implicită"
"Default Title","Titlu implicit"
"Drop-down","Listă derulantă"
"Dynamic","Dinamic"
"Excl. Tax","Fără taxe"
"Fixed","Fix"
"From","De la"
"From:","De la:"
"Gift Message","Mesaj pt. cadou"
"Incl. Tax","Cu taxe"
"Input Type","Tip input"
"Is Required","Este obligatoriu"
"Message:","Mesaj:"
"Multiple Select","Alegeri multiple"
"N/A","N/A"
"No options of this product are available.","Nicio opţiune nu este disponibilă pentru acest produs."
"None","Nimic"
"Percent","Procent"
"Percent Discount","Discount procent"
"Please enter search conditions to view products.","Introduceţi condiţiile de căutare pentru a vizualiza produsele."
"Please select options for product.","Alegeţi opţiunile pentru produs."
"Please select products to add","Alegeţi produsele de adăugat"
"Please specify product option(s)","Specificaţi opţiunile produsului"
"Position","Poziţie"
"Price Range","Interval preţ"
"Price Type","Tip preţ"
"Price as configured","Preţul ca în configurare"
"Qty:","Cantitate:"
"Radio Buttons","Butoane radio"
"Required options not selected.","Opţiunile necesare n-au fost selectate."
"Selected required options not available.","Opţiunile necesare selectate nu sunt disponibile."
"Separately","Separat"
"Ship Bundle Items","Livrare produse în grup"
"Shipment","Livrare"
"Store View Title","Titlu vizualizare magazin"
"There is no defined renderer for ""%s"" option type","Nu există niciun interpretor definit pentru tipul opţiunii ""%s"""
"This product is also part of bundle(s)","Produsul face parte şi din grup(uri)"
"To","Către"
"To:","Către:"
"Together","Împreună"
"User Defined Qty","Cantitate definită de utilizator"
