"New Poll","Új szavazás"
"Add New Poll","Új szavazás hozzáadása"
"Add Answer","Új válasz"
"Add New Answer","Új válasz hozzáadása"
"Status","Állapot"
"Invalid Answer","Érvénytelen válasz"
"Are you sure you want to delete it?","Biztos benne hogy törölni kívánja?"
"ID","ID"
"Community Poll","Közösségi szavazás"
"Visible In","Láthatóság"
"Date Posted","Létrehozva"
"Date Closed","Lezárva"
"Actions","Művelet"
"Unable to find answer to delete.","Nem találok törölhető választ."
"Open","Nyitott"
"Vote","Szavaz"
"Votes Count:","Szavazatok száma:"
"Votes Count","Szavazatszámláló"
"Poll information","Szavazás információk"
"Poll Information","Szavazás információk"
"Poll Question","Szavazás kérdés"
"Poll Manager","Szavazás kezelő"
"Save Poll","Szavazás mentése"
"Poll not exists","Szavazás nem létezik"
"Edit Poll '%s'","Szavazás szerkesztése '%s'"
"Delete Poll","Szavazás törlése"
"Poll with the same question","Szavazás ugyan azzal a kérdéssel"
"Edit Poll Answer","Szavazás válaszának szerkesztése"
"Poll Answers","Szavazás válaszok"
"Assigned Answers","Társított válaszok"
"Delete","Töröl"
"Disallow voting in a poll multiple times from same IP-address","Ugyan arról az ip-ről való szavazás tiltása"
"Answer Title","Válasz címe"
"Answer Title:","Válasz címe:"
"Save Answer","Válasz mentése"
"Answer was successfully saved","Válasz sikeresen elmentve"
"Edit Answer '%s'","Válasz szerkesztése '%s'"
"Delete Answer","Válasz törlése"
"Answer with the same title in this poll","Válasz ugyan azzal a címmel ebben a szavazásban"
"Number of Responses","Válaszok száma"
"Closed","Zárva"
