"* Required Fields","* Kötelező mezők"
"Enter a gift message for this address.","Adja meg az üzenetét ehhez a címhez."
"Enter a gift message for entire order.","Adja meg üzenetét a rendeléshez."
"Enter a gift message for each item in your order.","Adja meg üzeneteit, a rendelés elemeihez."
"Save Gift Message","Ajándék üzenet mentése"
"Add Gift Message","Új üzenet"
"Message","Üzenet"
"Gift Message","Üzenet"
"Gift message has been successfully saved","Üzenet sikeresen elmentve"
"Edit Gift Message","Üzenet szerkesztése"
"Your gift message has been successfully saved","Üzenetét elmentettük"
"Your gift message successfully saved","Üzenetét elmentettük"
"Your gift message has been successfully removed","Üzenetét eltávolítottuk"
"Your gift message successfully removed","Üzenetét eltávolítottuk"
"Gift Messages","Üzenetek"
"Allow Gift Messages on Order Level","Üzenetek engedélyezése rendelésenként"
"Allow Gift Messages for Order Items","Üzenetek engedélyezése tételenként"
"Close","Bezár"
"Are you sure?","Biztos benne?"
"Remove","Eltávolít"
"From","Feladó"
"You can leave a box blank if you don't wish to add a gift message for this address.","Hagyja üresen a dobozt ha nem kíván üzenetet hagyni ehhez a címhez."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Hagyja üresen a dobozt ha nem kíván üzenetet hagyni ehhez a rendeléshez."
"You can leave a box blank if you don't wish to add a gift message for the item.","Hagyja üresen a dobozt ha nem kíván üzenetet hagyni ehhez a termékhez."
"Use config","Használja a beállításokat"
"Error while saving gift message","Hiba az üzenet mentésekor"
"Add","Hozzáad"
"Yes","Igen"
"Check this checkbox if you want to add gift messages to your items.","Jelölje be ezt a négyzetet ha üzenetet kíván hagyni a rendelés tételeihez."
"Check this checkbox if you want to add gift messages.","Jelölje be ezt a négyzetet ha üzenetet kíván hagyni."
"To","Kinek"
"Cancel","Mégsem"
"Save","Mentés"
"No","Nem"
"Do you have any gift items in your order?","Szeretne üzenetet írni valamelyik termékhez?"
"Edit","Szerkeszt"
"Item %d of %d","Termék %d / %d"
"Unknown entity type","Unknown entity type"
