"* Required Fields","* Champs requis"
"Add","Ajouter"
"Add Gift Message","Ajouter un message cadeau"
"Cancel","Annuler"
"Item %d of %d","Article %d sur %d"
"Allow Gift Messages on Order Level","Autoriser les messages cadeau au niveau de la commande"
"Allow Gift Messages for Order Items","Autoriser les messages cadeau pour chaque article"
"Edit","Éditer"
"Edit Gift Message","Éditer le message cadeau"
"Check this checkbox if you want to add gift messages to your items.","Cochez cette case si vous voulez ajouter des messages cadeau à vos articles."
"Check this checkbox if you want to add gift messages.","Cochez cette case si vous voulez ajouter des messages cadeau."
"From","De la part de"
"Enter a gift message for this address.","Entrez un message cadeau pour cette adresse"
"Enter a gift message for each item in your order.","Entrez un message cadeau pour chaque article dans votre commande"
"Enter a gift message for entire order.","Entrez un message cadeau pour toute la commande"
"Error while saving gift message","Erreur lors de la sauvegarde du message cadeau"
"Are you sure?","Etes-vous certain ?"
"Close","Fermer"
"Gift message has been successfully saved","Le message cadeau a été sauvegardé"
"Message","Message"
"Gift Message","Message cadeau"
"Gift Messages","Messages cadeau"
"No","Non"
"Yes","Oui"
"To","Pour"
"Save","Sauvegarder"
"Save Gift Message","Sauvegarder le message cadeau"
"Remove","Supprimer"
"Unknown entity type","Type d'entité inconnu"
"Use config","Utiliser la config"
"Your gift message successfully saved","Votre message cadeau a été sauvegardé"
"Your gift message has been successfully saved","Votre message cadeau a été sauvegardé"
"Your gift message successfully removed","Votre message cadeau a été supprimé"
"Your gift message has been successfully removed","Votre message cadeau a été supprimé"
"You can leave a box blank if you don't wish to add a gift message for the item.","Vous pouvez laisser la boîte vide si vous ne souhaitez pas ajouter un message cadeau pour cet article."
"You can leave a box blank if you don't wish to add a gift message for this address.","Vous pouvez laisser la boîte vide si vous ne souhaitez pas ajouter un message cadeau pour cette adresse."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Vous pouvez laisser la boîte vide si vous ne souhaitez pas ajouter un message cadeau pour toute cette commande."
"Do you have any gift items in your order?","Y a-t-il des articles cadeaux dans votre commande ?"
