"%d Review(s)","%d vélemény"
"%s Review(s)","%s vélemény"
"(Posted on %s)","(Létrehozva: %s)"
"1 star","1 csillag"
"2 stars","2 csillag"
"3 stars","3 csillag"
"4 stars","4 csillag"
"5 stars","5 csillag"
"All reviews of customer `%s`","A vásárló összes véleménye: `%s`"
"Administrator","Adminisztrátor"
"New Review","Új vélemény"
"Add New Review","Új vélemény írása"
"Status","Állapot"
"Update status","Állapot frissítése"
"Price","Ár"
"Average Customer Rating","Átlagos vevői értékelés"
"Average Customer Rating:","Átlagos vevői értékelés:"
"Write Your Own Review","Írja le saját véleményét"
"Add Your Review","Írja le véleményét"
"You're reviewing: %s","Ön éppen véleményezi: %s"
"Your Rating:","Ön értékelése:"
"You have submitted no reviews.","Ön még nem véleményezett egy terméket sem."
"All Reviews","Összes vélemény"
"View All Reviews","Összes vélemény megtekintése"
"Summary Rating","Összesítő értékelés"
"Rating:","Értékelés:"
"Manage Ratings","Értékelések kezelése"
"Nickname","Becenév"
"Are you sure you want to do this?","Biztos benne hogy ezt akarja?"
"Are you sure?","Biztos benne?"
"Title","Cím"
"SKU","CSZ"
"Pending reviews","Függő vélemények"
"Pending Reviews","Függő vélemények"
"Pending reviews of customer `%s`","Függő vélemények `%s`"
"How do you rate this product?","Hogyan értékelné Ön ezt a terméket?"
"ID","ID"
"Please select one of each of the ratings above","Kérem válasszon egyet az értékelések közül."
"Visible In","Láthatóság"
"Posted By","Létrehozta"
"Created On","Létrehozva"
"My Recent Reviews","Legfrissebb véleményeim"
"Be the first to review this product","Legyen Ön az első aki véleményt ír erről a termékről"
"Qty","Menny"
"Name","Név"
"Name In Store","Név a boltban"
"View Details","Részletek"
"Detailed Rating","Részletes értékelés"
"Unable to post review. Please, try again later.","Sikertelen vélemény írás. Próbálja meg később."
"Type","Típus"
"Delete","Törlés"
"Product","Termék"
"Product Rating","Termék értékelése"
"Product Rating:","Termék értékelése:"
"Product SKU","Termék CSZ"
"Product Name","Termék neve"
"Product Review (submitted on %s):","Termék vélemény (létrehozva %s):"
"Product Reviews","Termék vélemények"
"Please select a product","Válasszon ki egy terméket"
"Customer","Vásárló"
"Customer Reviews","Vásárló véleményei"
"Review","Vélemény"
"Allow guests to write reviews","Vélemény írása vendégeknek is engedélyezve"
"Summary of review","Vélemény összegzése"
"Summary of Review","Vélemény összegzése"
"Submit Review","Vélemény elküldése"
"Save Review","Vélemény mentése"
"Review Details","Vélemény részletei"
"Edit Review '%s'","Vélemény szerkesztése '%s'"
"Delete Review","Vélemény törlése"
"Summary of Your Review","Véleményének összegzése"
"Your Review (submitted on %s):","Véleménye (létrehozva %s):"
"Your review has been accepted for moderation","Véleménye elfogadva, jelenleg moderáció alatt"
"My Product Reviews","Véleményeim"
"Reviews and Ratings","Vélemények és értékelések"
"Review by %s","Véleményezte: %s"
"Guest","Vendég"
"Back","Vissza"
"Back to Main Product Info","Vissza a termék adatlaphoz"
"Back to Product Reviews","Vissza a termék véleményekhez"
"Back to My Reviews","Vissza a véleményeimhez"
"Websites","Weboldalak"
