"%s is not supported currency.","%s er ikke supportert valuta."
"Enable sales and use tax","Akriver salg og bruk moms"
"Accept","Aksepter"
"Enable email verification","Aktiver epost-verifikasjon"
"Enable global address verification","Aktiver global adresse verifikasjon"
"Enable US address verification","Aktiver USA-adresse verifikasjon"
"Enable foreign exchange rate","Aktiver utenlandsk vekslingssats"
"Reject","Avslå"
"Use","Bruk"
"User ID","Bruker ID"
"Basic","Enkel"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","Epost-adressen kunne ikke verifiseres. Prøv på nytt."
"Email Verification","Epost-verifikasjon"
"Error address action","Feil"
"Error Email Template","Feil ifm epost-mal"
"Error Email Recipient","Feil ifm epost-mottaker"
"Error Email Sender","Feil ifm epost-sender"
"There is an error in verifying an email. Please contact us.","Feil under verifisering av epost-adresse. Kontakt oss."
"There is an error in retrieving tax rate. Please contact us","Feil ved henting av momssats. Kontakt oss"
"Complete","Ferdig"
"Global Address Verification","Global adresse-verifikasjon"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.."
"There is no more hits remaining for the foreign Exchange Rate Service.","Ingen flere treff."
"There is no response back from Strikeiron server","Ingen respons fra Strikeiron-serveren"
"Cannot retrieve rate from %s to %s","Kan ikke hente sats fra %s til %s"
"Cannot retreive rate from strikeirion.","Kan ikke hente sats fra strikeirion."
"Country/Region/Postal code combination","Land/Fylke/Postkode-kombinasjon"
"Maximum tax rate","Maksimal moms-sats"
"Minimum tax rate","Minimum moms-sats"
"Customer Tax Class","Momsklasse for kunde"
"Product Tax Class","Momsklasse for produkt"
"Tax","Mva"
"Password","Passord"
"Sales and Use Tax","Salg og bruk moms"
"Sales and Use Tax Type","Salg og bruk momstype"
"Check all email servers","Sjekk alle epost-serverne"
"Strikeiron Config","Strikeiron konfigurasjon"
"Strikeiron Section","Strikeiron Seksjon"
"Strikeiron foreign exchange rate is disabled","Strikeiron utenlandsk vekslingssats er deaktivert"
"Strikeiron","Strikeiron-import"
"Undetermined email action","Ubestemt epost-handling"
"Invalid email address","Ukjent epost-adresse"
"US Address Verification","USA-adresse verifikasjon"
"Foreign Exchange Rates","Utenlandsk vekslingsrate"
"Verify address in admin","Verifiser adresse i admin"
"Verify email in admin","Verifiser epost i admin"
"Pop up warning and accept","Vis advarsel og aksepter"
