"To Date","A data"
"Actions","Accions"
"Active","Actiu"
"Update the Product","Actualitza el producte"
"Update prices using the following information","Actualitza preus fent servir la següent informació"
"Update product's %s %s: %s","Actualitza productes %s %s: %s"
"Add New Rule","Afegeix nova regla "
"Apply","Aplica"
"Apply to","Aplica a"
"Apply the rule to cart items matching the following conditions","Aplica la regla als articles de la cistella que compleixin les següents condicions"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplica la regla només als articles de la cistella que compleixin les següents condicions (deixa en blanc per a tots els articles)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplica la regla només si es donen les següents condicions (deixa en blanc per a tots els productes)"
"This rule no longer exists","Aquesta regla ja no existeix"
"Cart Attribute","Atribut de la cistella"
"Stop further rules processing","Atura el processament de les regles"
"Expire at: %s","Caduca el: %s"
"Catalog","Catàleg"
"Customer registered: %s","Client registrat: %s"
"Coupon code","Codi del cupó"
"Coupon Code","Codi del cupó"
"Shipping Postcode","Codi postal d'enviament"
"Product attribute combination","Combinació d'atributs del producte"
"Conditions combination","Combinació de condicions"
"Start at: %s","Comença el: %s"
"Buy X get Y free (discount amount is Y)","Compreu X i aconseguiu Y gratis (l'import del descompte és Y) "
"Conditions","Condicions"
"Date Start","Data d'inici"
"Date Expire","Data de caducitat"
"From Date","Des de data"
"Save Rule","Desa la regla"
"Description","Descripció"
"Description: %s","Descripció: %s"
"Edit Rule","Edita la regla"
"Edit Rule '%s'","Edita la regla '%s'"
"Customer is new buyer: %s","El client és un nou comprador: %s"
"Delete Rule","Elimina la regla"
"Free shipping","Enviament gratuït"
"Status","Estat"
"Shipping State/Province","Estat/Província d'enviament"
"Customer Groups","Grups de client"
"ID","ID"
"Discount amount","Import del descompte"
"Fixed amount discount for whole cart","Import fix del descompte per a tota la cistella"
"Fixed amount discount","Importe fix del descompte"
"Unable to find a page to delete","Impossible trobar una pàgina per a eliminar"
"Inactive","Inactiu"
"Rule Information","Informació de la regla"
"General Information","Informació general"
"The page you are trying to save no longer exists","La pàgina que voleu desar ja no existeix"
"Maximum Qty Discount is Applied to","La quantitat màxima del descompte s'aplica a"
"Rule was successfully saved","La regla ha estat desada satisfactòriament"
"Rule was successfully deleted","La regla ha estat eliminada satisfactòriament"
"Shipping Method","Mètode d'enviament"
"Payment Method","Mètode de pagament"
"No","No"
"Rule Name","Nom de la regla"
"Name: %s","Nom: %s"
"For matching items only","Només per als articles que coincideixen"
"New Rule","Nova regla"
"Shipping Country","País d'enviament"
"Public In RSS Feed","Públic a canal RSS"
"For shipment with matching items","Per a enviaments amb articles que coincideixen"
"To Fixed Amount","Per a import fix"
"To Percentage of the original price","Per a percentatge del preu original"
"By Fixed Amount","Per import fix"
"By Percentage","Per percentatge"
"To Percentage","Per percentatge"
"By Percentage of the original price","Per percentatge del preu original"
"By Fixed value","Per valor fix"
"To Fixed Value","Per valor fix"
"Percent of product price discount","Percentatge de descompte del preu del producte"
"Total Weight","Pes total"
"Price in cart","Preu a la cistella"
"Special price","Preu especial"
"Priority","Prioritat"
"Promotions","Promocions"
"Quantity in cart","Quantitat a la cistella"
"Total Items Quantity","Quantitat d'articles totals"
"Discount Qty Step (Buy X)","Quantitat de descompte (compra X)"
"Shipping Region","Regió d'enviament"
"Shopping Cart Price Rule","Regla de preus de la cistella de la compra"
"Shopping Cart Price Rules","Regles de preus de la cistella de la compra"
"Yes","Sí"
"NOT LOGGED IN","SESSIÓ NO INICIADA"
"Products subselection","Subselecció de productes"
"Subtotal","Subtotal"
"Row total in cart","Total de files a la cistella"
"Uses per customer","Usos per client"
"Uses per coupon","Usos per cupó"
