"%d Review(s)","%d Opinió(ns)"
"%s Review(s)","%s Opinió(ns)"
"(Posted on %s)","(publicat a %s)"
"1 star","1 estrella"
"2 stars","2 estrelles"
"3 stars","3 estrelles"
"4 stars","4 estrelles"
"5 stars","5 estrelles"
"Update status","Actualitza l'estat"
"Administrator","Administrador"
"Add Your Review","Afegeix la vostra opinió"
"Add New Review","Afegeix una nova opinió "
"Customer","Client"
"SKU","Codi"
"Product SKU","Codi del producte"
"How do you rate this product?","Com qualifiqueu aquest producte?"
"Pending reviews","Comentaris pendents"
"Pending reviews of customer `%s`","Comentaris pendents del client %s"
"Created On","Creat el"
"Save Review","Desa l'opinió"
"Review Details","Detalls de l'opinió"
"Edit Review '%s'","Editar l'opinió '%s'"
"Delete","Elimina"
"Delete Review","Elimina l'opinió"
"Submit Review","Envia opinió"
"Write Your Own Review","Escriviu la vostra pròpia opinió"
"Status","Estat"
"You're reviewing: %s","Esteu opinant sobre: %s"
"Are you sure?","Esteu segur?"
"Manage Ratings","Gestiona qualificacions"
"ID","ID"
"Unable to post review. Please, try again later.","Impossible enviar l'opinió. Si us plau, intenteu-ho més tard "
"Guest","Invitat"
"Your Review (submitted on %s):","La vostra opinió (realitzada el %s):"
"Your review has been accepted for moderation","La vostra opinió ha estat acceptada per tal de ser moderada"
"Your Rating:","La vostra qualificació:"
"My Product Reviews","Les meves opinions del producte"
"My Recent Reviews","Les meves opinions recents"
"Websites","Lloc web"
"You have submitted no reviews.","No heu enviat opinions."
"Name","Nom"
"Product Name","Nom del producte"
"Name In Store","Nom en la botiga"
"New Review","Nova opinió"
"Review by %s","Opinat %s"
"Review","Opinió"
"Product Review (submitted on %s):","Opinió del producte (enviada el %s):"
"Customer Reviews","Opinions del client"
"Product Reviews","Opinions del producte"
"Reviews and Ratings","Opinions i qualificacions"
"Pending Reviews","Opinions pendents"
"Allow guests to write reviews","Permetre els invitat escriure comentaris"
"Price","Preu"
"Product","Producte"
"Product Rating","Qualificació del producte"
"Product Rating:","Qualificació del producte:"
"Detailed Rating","Qualificació detallada"
"Summary Rating","Qualificació sumaria"
"Rating:","Qualificació:"
"Qty","Quantitat"
"Posted By","Realitzat per"
"Summary of Review","Resum de l'opinió"
"Summary of review","Resum de l'opinió"
"Summary of Your Review","Resum de la vostra opinió"
"Are you sure you want to do this?","Segur que voleu fer això?"
"Please select a product","Si us plau, seleccioneu un producte"
"Please select one of each of the ratings above","Si us plau, seleccioneu una de les qualificacions de dalt"
"Be the first to review this product","Sigueu el primer a opinar sobre aquest producte "
"Nickname","Sobrenom"
"Title","Títol"
"Average Customer Rating","Terme mitjà de la qualificació dels clients"
"Average Customer Rating:","Terme mitjà de la qualificació dels clients:"
"Type","Tipus"
"Back to Main Product Info","Torna a la informació del producte principal"
"Back to My Reviews","Torna a les meves opinions"
"Back to Product Reviews","Torna a les opinions del producte"
"Back","Torna enrere"
"All Reviews","Totes les opinions"
"All reviews of customer `%s`","Tots els comentaris del client %s"
"View Details","Veure els detalls"
"View All Reviews","Veure totes les opinions"
"Visible In","Visible en"
