"To Date","A la data"
"Actions","Accions"
"Active","Actiu"
"Update product's %s %s: %s","Actualitza productes %s %s: %s"
"Add New Rule","Afegeix una nova regla"
"Apply Rules","Aplica regles"
"This rule no longer exists","Aquesta regla ja no existeix"
"Product Attribute","Atribut del producte"
"Stop further rules processing","Atura el processament d'altres regles"
"Expire at: %s","Caduca el: %s"
"Catalog","Catàleg"
"Category","Categoria"
"Customer registered: %s","Client registrat: %s"
"Conditions Combination","Combinació de condicions"
"Start at: %s","Comença el: %s"
"Conditions","Condicions"
"Conditions (leave blank for all products)","Condicions (deixeu en blanc per a tots els productes)"
"Attribute Set","Conjunt d'atributs"
"Date Start","Data d'inici"
"Date Expire","Data de caducitat"
"From Date","Data des de"
"Date From","Des de data"
"Description","Descripció"
"Description: %s","Descripció: %s"
"Edit Rule","Edita la regla"
"Edit Rule '%s'","Edita la regla '%s'"
"Customer is new buyer: %s","El client es un nou comprador: %s"
"Delete Rule","Elimina la regla"
"Shipments","Enviaments"
"Order Shipments","Enviaments de comandes"
"Status","Estat"
"Invoices","Factures"
"Credit Memos","Factures d'abonament"
"Order Credit Memos","Factures d'abonament de comandes"
"Order Invoices","Factures de comandes"
"Date To","Fins data"
"Customer Groups","Grups de clients"
"Save and Apply","Guarda i aplica"
"Save Rule","Guarda la regla"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Hi ha regles que s'han canviat però no s'han aplicat. Pressioneu el botó d'aplica regles per a veure el seu efecte immediat en el catàleg."
"Order History","Historial de comandes"
"Comments History","Historial de comentaris"
"ID","ID"
"Inactive","Inactiu"
"Rule Information","Informació de la regla"
"General Information","Informació general"
"The page you are trying to save no longer exists","La pàgina que està intentant desar ja no existeix"
"Rule was successfully saved","La regla ha estat desada amb èxit"
"Rule was successfully deleted","La regla ha estat eliminada amb èxit"
"Rules were successfully applied","Les regles han estat aplicades amb èxit"
"Websites","Lloc web"
"Order Gift Messages","Missatges de regal de comandes"
"Gift Messages","Missatges per a regal"
"No","No"
"Unable to apply rules","No es poden aplicar les regles"
"Unable to find a page to delete","No es pot trobar una pàgina per a eliminar"
"NOT LOGGED IN","NO HA INICIAT SESSIÓ"
"Rule Name","Nom de la regla"
"Name: %s","Nom: %s"
"New Rule","Nova regla"
"Options","Opcions"
"Priority","Prioritat"
"Promotions","Promocions"
"Catalog Price Rule","Regla de preu per al catàleg"
"Catalog Price Rules","Regles de preus per al catàleg"
"Yes","Sí"
