"%s - Discounts and Coupons","%s - Rabatter og tilbud"
"%s - Special Discounts","%s - Spesialtilbud"
"%s has reached a quantity of %s.","%s har nådd et antall på %s."
"%s RSS Feed","%s RSS feed"
"%s's Wishlist","%s's Ønskeliste"
"Enable RSS","Aktiver RSS"
"Wishlist","Ønskeliste"
"Purchased From: %s","Bestilt fra: %s"
"Store: %s <br/>","Butikk: %s <br/>"
"Subtotal","Delsum"
"There are no Rss Feeds.","Det eksisterer ingen Rss Feeds."
"Details for %s #%s","Detaljer for %s #%s"
"Miscellaneous Feeds","Diverse feeds"
"Error in processing xml. %s","Feil ved prosessering av xml. %s"
"There are no Rss Feeds","Finner ingen Rss Feeds"
"From:","Fra:"
"Shipping & Handling","Frakt og ekspedisjon"
"Gift Message","Gavemelding"
"Current Status: %s<br/>","Gjeldende status: %s<br/>"
"Get Feed","Hent RSS Feed"
"Order # %s Notification(s)","Informasjon vedrørende ordre #%s"
"Special Products","Kampanjeprodukter"
"Cannot retrieve the wishlist","Kan ikke hente ønskeliste"
"Catalog","Katalog"
"Category Feeds","Kategori-feed"
"click <a href=""%s"">here</a> to view the review","klikk <a href=""%s"">her</a> for å vise omtalen"
"Comment: %s<br/>","Kommentar: %s<br/>"
"Customer Name: %s","Kundenavn: %s"
"Customer Order Status Notification","Melding om ordrestatus"
"Message:","Melding:"
"Tax","Moms"
"New Orders","Nye bestillinger"
"New Products","Nye produkter"
"New Products from %s","Nye produkter fra %s"
"Review: %s <br/>","Omtale: %s <br/>"
"Order #%s created at %s","Ordre #%s opprettet %s"
"Product: ""%s"" review By: %s","Produkt: ""%s"" omtale av: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Low Stock Products","Produkter med lav lagerbeholdning"
"Tags Products","Produkter med tagger"
"Products tagged with %s","Produkter tagget med %s"
"Discount ","Rabatt "
"Special/Discount Products","Rabatterte produkter"
"Coupons/Discounts","Rabattkoder/tilbud"
"RSS Feeds","RSS feeds"
"Rss Feeds Section","RSS seksjon"
"RSS testing","RSS test"
"Rss Config","RSS-konfigurasjon"
"RSS","RSS:"
"Summary of review: %s <br/>","Sammendrag av omtale: %s <br/>"
"Grand Total","Sluttsum"
"To:","Til:"
"Top Level Category","Toppnivå-kategori"
"Total Products: %s","Totalt artikler: %s"
"Total: %s<br/>","Totalt: %s<br/>"
"Notified Date: %s<br/>","Varslet den: %s<br/>"
"Pending product review(s)","Ventende produktomtaler"
