"(eg: domain.com/identifier)","(ex: domini.com/identificador)"
"Action","Acció"
"This block no longer exists","Aquest bloc no existeix"
"This page no longer exists","Aquesta pàgina no existeix"
"Last Modified","Última modificació "
"Static Blocks","Blocs estàtics"
"CMS","CMS"
"Content","Contingut"
"Date Created","Data de creació"
"Description","Descripció"
"Disabled","Deshabilitat"
"Layout","Disseny"
"Custom Design","Disseny personalitzat"
"Edit Block","Edita el bloc"
"Edit Block '%s'","Edita el bloc '%s'"
"Edit Page","Edita la pàgina"
"Edit Page '%s'","Edita pàgina '%s'"
"Block was successfully saved","El bloc s'ha desat amb èxit"
"Block was successfully deleted","El bloc s'ha eliminat amb èxit"
"Delete Block","Elimina el bloc"
"Delete Page","Elimina la pàgina"
"Status","Estat"
"Page Status","Estat de la pàgina"
"Poll Manager","Gestió de votacions"
"Manage Pages","Gestiona les pàgines"
"Save Block","Guarda el bloc"
"Save Page","Guarda la pàgina"
"Enabled","Habilitat"
"Identifier","Identificador"
"SEF URL Identifier","Identificador URL de SEF"
"Unable to find a block to delete","Impossible trobar un bloc per a eliminar"
"Unable to find a page to delete","Impossible trobar una pàgina per a eliminar"
"Customer Tax Class Information","Informació de la classe d'impost al client"
"Product Tax Class Information","Informació de la classe d'impost al producte"
"Page Information","Informació de la pàgina"
"Block Information","Informació del bloc"
"General Information","Informació general"
"Home","Inici"
"Add New Block","Insereix un nou bloc"
"Add New Page","Insereix una nova pàgina"
"Such a block identifier in selected store already exist.","Ja existeix un identificador de bloc similar en la botiga seleccionada"
"Page Identifier cannot consist only of numbers.","L'identificador de la pàgina no pot tenir només nombres."
"Page Identifier for specified store already exist.","L'identificador de la pàgina per a la botiga especificada ja existeix."
"The page you are trying to save no longer exists","La pàgina que estàveu intentant desar no existeix"
"Page was successfully saved","La pàgina s'ha desat amb èxit"
"Page was successfully deleted","La pàgina s'ha eliminat amb èxit"
"Meta Data","Meta dades"
"Meta Description","Meta descripcció"
"Meta Keywords","Meta paraules clau"
"Show breadcrumbs for CMS pages","Mostra el camí de navegació per a pàgines CMS"
"New Block","Nou bloc"
"New Page","Nova pàgina"
"Keywords","Paraules clau"
"CMS Home Page","Pàgina d'inici CMS"
"CMS No Route Page","Pàgina de 'No Route'"
"Title","Títol"
"Page Title","Títol de la pàgina"
"Block Title","Títol del bloc"
"Custom Theme","Tema personalitzat"
"Custom Theme From","Tema personalitzat des de"
"Custom Theme To","Tema personalitzat fins"
"All countries","Tots els països"
"Go to Home Page","Ves a la pàgina d'inici"
"Store View","Vista de la botiga"
"Layout Update XML","XML actualització de Layout"
