"%s - Discounts and Coupons","%s - Намаления и ваучери"
"%s - Special Discounts","%s - Специални намаления"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s достигна количество от %s."
"%s's Wishlist","%s's Списък с желания"
"Cannot retrieve the wishlist","Невъзможно получаването на списък с желания"
"Catalog","Каталог"
"Category Feeds","Category Feeds"
"Comment: %s<br/>","Коментар: %s<br/>"
"Coupons/Discounts","Ваучери/Намаления"
"Current Status: %s<br/>","Текущ статус: %s<br/>"
"Customer Name: %s","Име на клиента: %s"
"Customer Order Status Notification","Уведомяване за статуса на клиентската поръчка"
"Details for %s #%s","Детайли за %s #%s"
"Discount ","Намаление "
"Enable RSS","Разреши RSS"
"Error in processing xml. %s","Грешка при обработката на xml. %s"
"From:","От:"
"Get Feed","Вземи Feed"
"Gift Message","Съобщение за подарък"
"Grand Total","Общо"
"Low Stock Products","Продукти с малко количество"
"Message:","Съобщение:"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","Нови поръчки"
"New Products","Нови продукти"
"New Products from %s","Нови продукти от %s"
"Notified Date: %s<br/>","Дата на известие: %s<br/>"
"Order # %s Notification(s)","Поръчка # %s уведомление(я)"
"Order #%s created at %s","Поръчка #%s създадена на %s"
"Pending product review(s)","Изчакващи мнения за продукта"
"Product: ""%s"" review By: %s","Продукт: ""%s"" мнение от: %s"
"Product: <a href=""%s"">%s</a> <br/>","Продукт: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Продукти тагнати с %s"
"Purchased From: %s","Форма на поръчка: %s"
"RSS","RSS"
"RSS Feeds","RSS емисии"
"RSS testing","RSS testing"
"Review: %s <br/>","Прегледай: %s <br/>"
"Rss Config","Rss настройка"
"Rss Feeds Section","Rss Feeds Section"
"Shipping & Handling","Изпращане &amp; управление"
"Special Products","Специални продукти"
"Special/Discount Products","Специални/Намалени продукти"
"Store: %s <br/>","Магазин: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Резюме от мнение: %s <br/>"
"Tags Products","Tags Products"
"Tax","Данък"
"There are no Rss Feeds","There are no Rss Feeds"
"There are no Rss Feeds.","There are no Rss Feeds."
"To:","До:"
"Top Level Category","Основна категория"
"Total Products: %s","Total Products: %s"
"Total: %s<br/>","Общо: %s<br/>"
"Wishlist","Списък с желания"
"click <a href=""%s"">here</a> to view the review","кликнете <a href=""%s"">тук</a> за да прегледате мненията"
