"Saved ","บันทึกแล้ว"
"Invalid attribute name: %s","ชื่อคุณลักษณะไม่ถูกต้อง: %s"
"Joined field or attribute expression with this alias is already declared","ฟิลด์ร่วมหรือการแสดงคุณลักษณะที่มีนามแฝงนี้ถูกประกาศไปแล้ว"
"Joined field with this alias is already declared","ฟิลด์ร่วมที่มีนามแฝงนี้ถูกประกาศไปแล้ว"
"Joined field with this alias (%s) is already declared","ฟิลด์ร่วมที่ใช้นามแฝงนี้ (%s) ถูกประกาศไปแล้ว"
"Invalid joined fields","ฟิลด์ร่วมไม่ถูกต้อง"
"Problem saving the collection, aborting. Error: %s","พบปัญหาขณะบันทึกคอลเลคชั่น กำลังยกเลิก ข้อผิดพลาด: %s"
"Problem loading a record, aborting. Error: %s","พบปัญหาขณะกำลังโหลดรายการ กำลังยกเลิก ข้อผิดพลาด: %s"
"Problem saving a record, aborting. Error: ","พบปัญหาในการบันทึกรายการ กำลังยกเลิก ข้อผิดพลาด:"
"Attempt to add an invalid object","พยายามเพิ่มวัตถุที่ไม่ถูกต้อง"
"Invalid attribute requested: %s","การร้องขอคุณลักษณะไม่ถูกต้อง: %s"
"Invalid entity supplied","การป้อนข้อมูล entity ไม่ถูกต้อง"
"Invalid entity supplied: %s","การป้อนข้อมูล entity ไม่ถูกต้อง: %s"
"Default option value is not defined","ยังไม่ได้กำหนดค่าเริ่มต้นของตัวเลือก"
"Entity is not initialized","ยังไม่ได้เริ่มต้นทำงาน Entity "
"Wrong attribute set ID","รหัสชุดคุณลักษณะไม่ถูกต้อง"
"Wrong attribute group ID","รหัสกลุ่มคุณลักษณะไม่ถูกต้อง"
"Wrong attribute ID","รหัสคุณลักษณะไม่ถูกต้อง"
"Valid store_id is expected!","ระบบต้องการข้อมูล store_id ที่ถูกต้อง!"
"Entity collection expected","ระบบต้องการค่า Entity คอลเลคชั่น"
"Entity collections expected","ระบบต้องการค่า Entity คอลเลคชั่น"
"Invalid store specified","ร้านค้าที่ระบุไม่ถูกต้อง"
"Invalid data object key","ข้อมูล Object Key ไม่ถูกต้อง"
"Data integrity: No header row found for attribute","ความสมบูรณ์ของข้อมูล: ไม่พบหัวแถวสำหรับคุณลักษณะ"
"Attribute '%s' used in configurable products.","คุณลักษณะ '%s' ใช้ในการแก้ไขสินค้า"
"Attribute with the same code","คุณลักษณะที่มีโค้ดเดียวกัน"
"Attribute used in configurable products.","คุณลักษณะใช้ในการแก้ไขสินค้า."
"Value of attribute ""%s"" must be unique","ค่าของคุณลักษณะ ""%s""ควรจะเป็นลักษณะเฉพาะ"
"Invalid character encountered in increment ID: %s","ตัวอักษรที่พบในรหัสที่เพิ่มขึ้นไม่ถูกต้อง: %s"
"Invalid entity type","ประเภทของ Entity ไม่ถูกต้อง"
"Invalid attribute type","ประเภทคุณลักษณะไม่ถูกต้อง"
"Frontend label is not defined","ป้ายของส่วนหน้า ยังไม่ถูกกำหนด"
"Invalid alias, already exists in joined attributes","นามแฝงไม่ถูกต้องและมีอยู่แล้วในคุณลักษณะร่วม"
"Yes","ใช่"
"Loaded %d records","โหลดการบัยทึก %d "
"No","ไม่่"
"Problem loading the collection, aborting. Error: %s","เกิดปัญหาขณะโหลดคอลเลคชั่น กำลังยกเลิก ข้อผิดพลาด: %s"
"Wrong entity ID","Entity รหัสไม่ถูกต้อง"
"Invalid entity specified","Entity ที่ถูกระบุไม่ถูกต้อง"
"Invalid entity_id, skipping the record","entity_id ไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid entity_type specified: %s","entity_type ที่ระบุไม่ถูกต้อง: %s"
"Invalid foreign key","foreign key ไม่ถูกต้อง"
"Invalid attribute specified: %s","Invalid attribute specified: %s"
"No options root node found","No options root node found"
"Unknown parameter","parameter ที่ไม่รู้จัก"
