"Abandoned carts","Изоставени кошници"
"Action","Action"
"Add to Cart","Добави в кошница"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави към списък с желания"
"Applied Coupon","Използван ваучер"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Бестселъри"
"Bought from wishlists","Купено от списък с желания"
"CSV","CSV"
"Carrier/Method","Кариера/Метод"
"Carts","Кошници"
"Coupons","Ваучери"
"Created at","Създадено в"
"Customer","Клиент"
"Customer Name","Име на клиента"
"Customer Tags","Тагове на клиента"
"Customers","Клиенти"
"Customers Report","Справка клиенти"
"Customers Reviews","Мнения на клиенти"
"Customers Tags","Тагове на клиенти"
"Customers by number of orders","Клиенти по брой заявки"
"Customers by orders total","Клиенти по сума на заявки"
"Customers that have wishlist: %s%","Клиенти, които имат списък с желания: %s%"
"Day","Ден"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Детайл"
"Discounts","Намаления"
"Downloads","Downloads"
"Email","Имейл"
"Excel","Excel"
"First Name","Собствено име"
"Guest","Гост"
"Hits","Посещения"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Фактурирано"
"Items Ordered","Поръчани продукти"
"Items in Cart","Продукти в кошницата"
"Last Name","Фамилия"
"Last Review","Последно мнение"
"Link","Link"
"Low stock","Ниска наличност"
"Month","Месец"
"Most Viewed","Най-посещавани"
"Most viewed","Най-посещавани"
"Name","Име"
"New Accounts","Нови профили"
"Number Added","Брой добавени"
"Number Fulfilled","Брой изпълнения"
"Number Of Historical Uses","Брой на Historical потребители"
"Number Of Reviews","Брой мнения"
"Number Of Uses","Брой използвания"
"Number Purchased","Брой покупки"
"Number Viewed","Брой преглеждано"
"Number of Items","Брой на артикулите"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Брой нови профили"
"Number of Orders","Брой поръчки"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Брой на мнения"
"Number of Total Tags","Общ брой на тагове"
"Number of Unique Tags","Брой уникални тагове"
"Number of Views","Брой прегледи"
"Number of items bought from a wishlist: %s","Брой на покупки от списък с желания: %s"
"Number of times deleted","Брой изтривания"
"Number of times wishlists have been shared (emailed): %s","Брой пъти, когато списъците с желания са споделяни (изпращани): %s"
"Number of wishlist conversions: %s","Брой на конверсиите от списъка с желания: %s"
"Number of wishlist referrals: %s","Брой на референциите от списъка с желания: %s"
"Number of wishlists: %s","Брой на списъците с желания: %s"
"Offline Refunded","Възстановена офлайн"
"Online Refunded","Възстановена онлайн"
"Orders","Поръчки"
"Out of stock","Няма наличност"
"Poducts Report","Справка за продукти"
"Popular Tags","Популярни тагове"
"Popularity","Популярност"
"Price","Цена"
"Product Name","Име на продукт"
"Product Reviews","Мнения за продукт"
"Product Sku","Каталожен номер"
"Product Tags","Тагове за продукт"
"Products","Продукти"
"Products Report","Справки за продукти"
"Products Reviews","Мнения за продукти"
"Products Sold","Products Sold"
"Products Tags","Тагове на продукти"
"Products in carts","Продукти в кошници"
"Purchases","Purchases"
"Quantity Ordered","Поръчано количество"
"Quantity of Items","Количество продукти"
"Rate","Rate"
"Recently Compared Products","Последно сравнени продукти"
"Recently Viewed Products","Последно видени продукти"
"Recently Viewed/Compared Products","Последно видени/сравнени продукти"
"Refunded","Възстановен"
"Reports","Справки"
"Results","Резултати"
"Revenue","Приход"
"Review","Мнение"
"Reviews","Мнения"
"Reviews for %s","Мнения за %s"
"Sales","Продажби"
"Sales Report","Справка продажби"
"Search Terms","Търсени фрази"
"Shipping","Доставка"
"Shopping Cart","Пазарска кошница"
"Show for Current","Покажи за текущи"
"Stock Qty","Количество на склад"
"Submitted In","Заявено в"
"Submitted On","Заявено на"
"Subtotal","Междинна сума"
"Tag","Таг"
"Tag ""%s"" details","Детайли на тага ""%s"""
"Tag Detail","Детайл на таг"
"Tag Name","Име на таг"
"Tag use","Използване на таг"
"Tags submited by %s","Тагове публикувани от %s"
"Tags submitted to %s","Тагове публикувани за %s"
"Tax","Данъчни"
"Tax Amount","Данъчна сума"
"Title","Заглавие"
"Total","Общо"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Общо сторно"
"Total Shipping","Общо доставки"
"Total Tags","Общо тагове"
"Total invoiced","Общо фактурирани"
"Total refunded","Общо възстановени"
"Updated at","Обновено на"
"Visible In","Видимо в"
"Wishlist Report","Справка за списъци с желания"
"Wishlist vs. Regular Order","Списък с желания срещу Стандартна поръчка"
"Wishlists","Списъци с желания"
"Year","Година"
"Your Recently Compared","Вашите последно сравнени"
"Your Recently Viewed","Вашите последно разгледани"
