"(eg: domain.com/identifier)","(eg: domain.com/azonosító)"
"The page you are trying to save no longer exists","A menteni kívánt oldal már nem létezik"
"New Block","Új blokk"
"Add New Block","Új blokk hozzáadása"
"New Page","Új oldal"
"Add New Page","Új oldal hozzáadása"
"Identifier","Azonosító"
"Status","Állapot"
"All countries","Összes ország"
"Edit Block '%s'","Blokk '%s' szerkesztése"
"Block Title","Blokk címe"
"Block Information","Blokk információk"
"Save Block","Blokk mentése"
"Block was successfully saved","Blokk sikeresen elmentve"
"Block was successfully deleted","Blokk sikeresen törölve"
"Edit Block","Blokk szerkesztése"
"Delete Block","Blokk törlése"
"Store View","Bolt nézet"
"Title","Címsor"
"CMS","CMS"
"CMS No Route Page","CMS hibás link oldal"
"CMS Home Page","CMS kezdőlap"
"Custom Design","Egyedi kinézet"
"Custom Theme","Egyedi téma"
"Custom Theme From","Egyedi téma kezdete"
"Custom Theme To","Egyedi téme vége"
"Show breadcrumbs for CMS pages","Elérési út mutatása a cms oldalnál"
"Layout","Elrendezés"
"Layout Update XML","Elrendezés frissítés XML"
"Enabled","Engedélyezve"
"This block no longer exists","Ez a blokk már nem létezik"
"This page no longer exists","Ez az oldal már nem létezik"
"General Information","Főbb információk"
"Such a block identifier in selected store already exist.","Ilyen azonosító a választott boltban már létezik."
"Home","Kezdőlap"
"Keywords","Kulcsszavak"
"Date Created","Létrehozva"
"Description","Leírás"
"Disabled","Letiltva"
"Action","Művelet"
"Meta Data","Meta Adatok"
"Meta Keywords","Meta Kulcsszavak"
"Meta Description","Meta Leírás"
"Unable to find a block to delete","Nem találom a törlendő blokkot"
"Unable to find a page to delete","Nem találom a törlendő oldalt"
"Edit Page '%s'","Oldal '%s' szerkesztése"
"Page Identifier for specified store already exist.","Oldal azonosító ehhez a bolthoz már létezik."
"Page Identifier cannot consist only of numbers.","Oldal azonosító nem tartalmazhat csak számokat."
"Page Status","Oldal állapot"
"Page Title","Oldal címe"
"Page Information","Oldal információk"
"Save Page","Oldal mentése"
"Page was successfully saved","Oldal sikeresen elmentve"
"Page was successfully deleted","Oldal sikeresen törölve"
"Edit Page","Oldal szerkesztése"
"Delete Page","Oldal törlése"
"Manage Pages","Oldalak kezelése"
"SEF URL Identifier","SEF URL azonosító"
"Static Blocks","Statikus blokkok"
"Poll Manager","Szavazás kezelő"
"Content","Tartalom"
"Product Tax Class Information","Termék áfa osztály információ"
"Last Modified","Utoljára módosítva"
"Customer Tax Class Information","Vevő áfa osztály adatok"
"Go to Home Page","Vissza a kezdőlapra"
