"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s ble lagt til i ønskelisten. Klikk <a href=""%2$s"">her</a> for å fortsette å handle."
"%s's Wishlist","%s's ønskeliste"
"* Required Fields","* Obligatoriske felt"
"Enabled","Aktivert"
"Share options","Alternativer for deling"
"Wishlist","Ønskeliste"
"Wishlist Section","Ønskeliste seksjon"
"Your Wishlist was successfully shared","Ønskelisten ble delt"
"Wishlist is empty now.","Ønskelisten er nå tom."
"Share Wishlist","Del ønskelisten"
"Share Your Wishlist","Del din ønskeliste"
"Wishlist Sharing","Deling av ønskeliste"
"There was an error while adding item to wishlist.","Det oppstod en feil ved innlegging av en vare i ønskelisten."
"There was an error while adding item to wishlist: %s","Det oppstod en feil ved innlegging av en vare i ønskelisten: %s"
"There was an error while deleting item from wishlist.","Det oppstod en feil ved sletting av en vare i ønskelisten."
"There was an error while deleting item from wishlist: %s","Det oppstod en feil ved sletting av en vare i ønskelisten: %s"
"You input not valid email address.","Dette er ikke en gyldig epost-adresse."
"You have no items in your wishlist.","Du har ingen varer i ønskelisten."
"Email address can't be empty.","Epost-adressen kan ikke være tom."
"Email addresses, separated by commas","Epost-adresser, kommaseparerte"
"Email Sender","Epost-avsender"
"Are you sure you would like to remove this item from the wishlist?","Er du sikker på at du vil fjerne varen fra ønskelisten?"
"Are you sure you want to remove this product from your wishlist?","Er du sikker på at ud vil fjerne produktet fra ønskelisten?"
"Are You sure?","Er du sikker?"
"Remove Item","Fjern vare"
"Go to Wishlist","Gå til ønskelisten"
"General Options","Generelle valg"
"Sharing Information","Informasjon om deling"
"Can't save description %s","Kan ikke lagre beskrivelse %s"
"Comment","Kommentar"
"Cannot create wishlist","Kunne ikke opprette ønskeliste"
"Cannot specify product","Kunne ikke spesifisere produkt"
"Added On","Lagt til"
"Add All to Cart","Legg alle i handlekurven"
"Add to Wishlist","Legg i ønskelisten"
"Add to Cart","Legg i handlekurven"
"Email Template","Mal for e-post"
"Message","Melding"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Merk av her dersom du ønsker å legge til en link til en RSS-feed av din ønskeliste."
"My Wishlist","Min ønskeliste"
"My Wishlist (%d item)","Min ønskeliste (%d vare)"
"My Wishlist (%d items)","Min ønskeliste (%d varer)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"Update Wishlist","Oppdater ønskelisten"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Oppgi gyldige e-postadresser, separert med komma. For eksempel ola@normann.no, kari@normann.no."
"Product","Produkt"
"Last Added Items","Produkter nylig lagt til"
"This product(s) is currently out of stock:","Produktet er for øyeblikket ikke på lager:"
"RSS Feed","RSS-feed"
"RSS link to %s's wishlist","RSS-link til %s's ønskeliste"
"Please, enter your comments...","Skriv eventuelle kommentarer..."
"Back","Tilbake"
"View Product","Vis produkt"
