"Destination folder ""%s"" is not a directory","""%s"" er ikke en katalog"
"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link til fil</a>"
"Sheet 1","Ark 1"
"Please declare ""adapter"" and ""method"" node first","Deklarer ""adapter"" og ""method"" noder først"
"Declared adapter %s not found","Deklarert adapter %s ikke funnet"
"Error occured during file opening: ""%s""","En feil oppstod under åpning av fil: ""%s"""
"ETA: %s","ETA %s"
"Found %d rows","Fant %d rader"
"Error field mapping! Fields list for mapping is not defined","Feil ved kobling av felt! Liste over koblede felt ikke definert"
"Done","Ferdig"
"File ""%s"" don't exist","Filen ""%s"" finnes ikke"
"Skip undefined row","Hopp over udefinert rad"
"Access denied to destination folder ""%s""","Ingen adgang til målkatalog ""%s"""
"Destination folder ""%s"" is not a writeable","Kan ikke skrive til katalog ""%s"""
"Dry run set, stopping execution","Kjøringen går tregere enn normalt, avbryter utførelsen"
"Could not save file: %s","Kunne ikke lagre fil: %s"
"Could not load file: ""%s""","Kunne ikke laste fil: ""%s"""
"Saved successfully: ""%s"" [%d byte(s)]","Lagring vellykket: ""%s"" [%d byte(s)]"
"Loaded successfully: ""%s""","Lastet: ""%s"""
"Destination folder ""%s"" does not exist or not access to create","Målkatalogen ""%s"" finnes ikke eller mangler skriverettigheter"
"Method ""%s"" not defined in adapter %s","Metode ""%s"" ikke definert i adapter %s"
"Less than a minute","Mindre enn ett minutt"
"Memory Used: %s","Minneforbruk: %s"
"minute","minutt"
"minutes","minutter"
"Processed records: %s","Oppføringer prosessert: %s"
"Starting %s :: %s","Starter %s :: %s"
"hour","time"
"hours","timer"
"Total records: %s","Totalt antall oppføringer: %s"
