"For shipment with matching items","A megfelelő termékek szállítására is"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","A szabály csak akkor teljesüljön ha a kosár tételei megegyeznek a következő feltételekkel (hagyja üresen minden termékhez)"
"Apply the rule only if the following conditions are met (leave blank for all products)","A szabály csak akkor teljesüljön ha az alábbi feltételek teljesülnek (hagyja üresen minden termékhez)"
"Active","Aktív"
"New Rule","Új szabály"
"Add New Rule","Új szabály hozzáadása"
"To Percentage of the original price","Az eredeti ár százalékára"
"By Percentage of the original price","Az eredeti ár százalékával"
"The page you are trying to save no longer exists","Az oldal amit menteni próbál már nem létezik"
"Status","Állapot"
"Price in cart","Ár a kosárban"
"Update prices using the following information","Árak frissítése a következő információk használatával"
"Total Items Quantity","Összes termék mennyisége"
"Apply to","Érvényesít erre"
"Inactive","Érvénytelen"
"Shopping Cart Price Rule","Bevásárlókosár ár szabály"
"Shopping Cart Price Rules","Bevásárlókosár ár szabályok"
"For matching items only","Csak a megfelelő termékekre"
"Apply","Elfogad"
"This rule no longer exists","Ez a szabály már nem létezik"
"General Information","Főbb információk"
"Conditions","Feltételek"
"Conditions combination","Feltételek kombinációja"
"By Fixed value","Fis mértékkel"
"To Fixed Value","Fix értékre"
"Fixed amount discount","Fix összegű kedvezmény"
"Fixed amount discount for whole cart","Fix összegű kedvezmény az egész kosárra"
"By Fixed Amount","Fix összeggel"
"To Fixed Amount","Fix összegre"
"Payment Method","Fizetési mód"
"Uses per coupon","Használat/Kupon"
"Uses per customer","Használat/Vásárló"
"ID","ID"
"Yes","Igen"
"Free shipping","Ingyenes szállítás"
"Catalog","Katalógus"
"Discount Qty Step (Buy X)","Kedvezmény lépcső (Vegyen X-et)"
"Discount amount","Kedvezmény mérték"
"Special price","Kedvezményes ár"
"From Date","Kezdés"
"Date Start","Kezdés"
"Start at: %s","Kezdés: %s"
"Cart Attribute","Kosár jellemzők"
"Coupon code","Kupon kód"
"Coupon Code","Kupon kód"
"Description","Leírás"
"Description: %s","Leírás: %s"
"Date Expire","Lejárat"
"Expire at: %s","Lejárat: %s"
"Maximum Qty Discount is Applied to","Maximális mennyiségi kedvezmény elfogadása"
"Actions","Művelet"
"To Date","Meddig"
"Quantity in cart","Mennyiség a kosárban"
"Name: %s","Név: %s"
"No","Nem"
"Unable to find a page to delete","Nem található a törlendő oldal"
"NOT LOGGED IN","NINCS BELÉPVE"
"Priority","Prioritás"
"Promotions","Promóciók"
"Public In RSS Feed","Publikus RSS hírforrás"
"Apply the rule to cart items matching the following conditions","Szabály érvényesítése a kosár tételeire amik megfelelnek a következő feltételeknek"
"Rule Information","Szabály információk"
"Save Rule","Szabály mentése"
"Rule Name","Szabály neve"
"Rule was successfully saved","Szabály sikeresen mentve"
"Rule was successfully deleted","Szabály sikeresen törölve"
"Edit Rule","Szabály szerkesztése"
"Edit Rule '%s'","Szabály szerkesztése '%s'"
"Delete Rule","Szabály törlése"
"Shipping Postcode","Szállítási irányítószám"
"Shipping Method","Szállítási mód"
"Shipping State/Province","Szállítási megye/régió"
"Shipping Country","Szállítási ország"
"Shipping Region","Szállítási régió"
"By Percentage","Százalékkal"
"To Percentage","Százalékra"
"Total Weight","Teljes súly"
"Percent of product price discount","Termék ár kedvezmény százaléka"
"Update the Product","Termék frissítése"
"Product attribute combination","Termék jellemző kombinációk"
"Products subselection","Termék kiválasztás"
"Update product's %s %s: %s","Termékek frissítése %s %s: %s"
"Stop further rules processing","További szabályok futtatásának leállítása"
"Customer is new buyer: %s","Vásárló új vevő: %s"
"Customer registered: %s","Vásárló regisztrált: %s"
"Subtotal","Végösszeg"
"Row total in cart","Végösszeg sor a kosárban"
"Customer Groups","Vevői csoportok"
"Buy X get Y free (discount amount is Y)","X-et vesz Y-t kap ajándékba. (engedmény értéke Y)"
