"Actions","Действия"
"Add Answer","Добавете отговор"
"Add New Answer","Добавете нов отговор"
"Add New Poll","Добавете нова анкета"
"Answer Title","Заглавие на отговора"
"Answer Title:","Заглавие на отговора:"
"Answer was successfully saved","Отговора беше запаметен успешно"
"Answer with the same title in this poll","Вече съществува отговор със същото заглавие в тази анкета"
"Are you sure you want to delete it?","Сигурни ли сте, че искате да го изтриете?"
"Assigned Answers","Въведени отговори"
"Closed","Затворено"
"Community Poll","Анкета за общността"
"Date Closed","Затворено на дата"
"Date Posted","Публикувано на дата"
"Delete","Изтрийте"
"Delete Answer","Изтрийте отговора"
"Delete Poll","Изтрийте анкетата"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Редактирай отговора '%s'"
"Edit Poll '%s'","Редактирай анкетата '%s'"
"Edit Poll Answer","Редактирай отговор в анкета"
"ID","И.Н."
"Invalid Answer","Невалиден отговор"
"New Poll","Нова анкета"
"Number of Responses","Брой отговори"
"Open","Отвори"
"Poll Answers","Отговори в анкета"
"Poll Information","Информация за анкета"
"Poll Manager","Мениджър анкети"
"Poll Question","Въпрос в анкетата"
"Poll information","Информация за анкета"
"Poll not exists","Анкетата не съществува"
"Poll with the same question","Анкета със същия въпрос"
"Save Answer","Запиши отговора"
"Save Poll","Запиши анкетата"
"Status","Статус"
"Unable to find answer to delete.","Липсва отговор за изтриване."
"Visible In","Видим в"
"Vote","Гласувай"
"Votes Count","Брой гласове"
"Votes Count:","Брой гласове:"
