"1 star","1 csillag"
"2 stars","2 csillag"
"3 stars","3 csillag"
"4 stars","4 csillag"
"5 stars","5 csillag"
"Default Value","Alapértelmezett érték"
"Add New Rating","Új értékelés"
"New Rating","Új értékelése"
"Rating Options","Értékelés beállításai"
"Rating Information","Értékelés információk"
"Rating Visibility","Értékelés láthatósága"
"Save Rating","Értékelés mentése"
"Rating isn't Available","Értékelés nem elérhető"
"Rating Title","Értékelés neve"
"Rating Name","Értékelés neve"
"Edit Rating","Értékelés szerkesztése"
"Delete Rating","Értékelés törlése"
"Rating with the same title","Értékelés ugyan ezzel a címmel"
"Manage Ratings","Értékelések kezelése"
"If you do not specify a rating title for a store, the default value will be used.","Ha Ön nem adott meg a bolthoz kapcsolódó étékelési címet, akkor az alapértelmezett lesz használva."
"ID","ID"
"Visible In","Láthatóság"
"Be the first to review this product","Legyen Ön az első aki értékeli ezt a terméket"
"Option Label","Opció borító"
"Option Title","Opció neve"
"Assigned Options","Opciók társítása"
"Option Title:","Option neve:"
"Please select one of each ratings above","Válasszon egyet egyet az fenti értékelésekből"
