"Active","Aktív"
"New Rule","Új szabály"
"Add New Rule","Új szabály hozzáadása"
"The page you are trying to save no longer exists","Az oldal amit menteni próbál nem létezik"
"Status","Állapot"
"Options","Beállítások"
"This rule no longer exists","Ez a szabály nem létezik már."
"General Information","Főbb információk"
"Conditions","Feltételek"
"Conditions (leave blank for all products)","Feltételek (hagyd üresen az összes termékhez)"
"Conditions Combination","Feltételek kombinációja"
"ID","ID"
"Yes","Igen"
"Inactive","Inaktív"
"Credit Memos","Jóváírások"
"Attribute Set","Jellemző csoport"
"Catalog","Katalógus"
"Catalog Price Rule","Katalógus ár szabály"
"Catalog Price Rules","Katalógus ár szabályok"
"Category","Kategória"
"Date Start","Kezdés"
"Start at: %s","Kezdés: %s"
"Comments History","Komment történet"
"Description","Leírás"
"Description: %s","Leírás: %s"
"Date Expire","Lejárat"
"Expire at: %s","Lejárat: %s"
"Actions","Műveletek"
"Date To","Meddig"
"To Date","Meddig"
"Save and Apply","Ment és érvényesít"
"From Date","Mióta"
"Date From","Mióta"
"Name: %s","Név: %s"
"No","Nem"
"Unable to apply rules","Nem lehet a szabályokat érvényesíteni"
"Unable to find a page to delete","Nem találom a törlendő oldalt"
"NOT LOGGED IN","NINCS BELÉPVE"
"Priority","Prioritás"
"Promotions","Promóciók"
"Order Gift Messages","Rendelés üzenetek"
"Gift Messages","Rendelés üzenetek"
"Order Credit Memos","Rendelés jóváírások"
"Order History","Rendelés történet"
"Rule Information","Szabály információk"
"Save Rule","Szabály mentése"
"Rule Name","Szabály neve"
"Rule was successfully saved","Szabály sikeresen mentve"
"Rule was successfully deleted","Szabály sikeresen törölve"
"Edit Rule","Szabály szerkesztése"
"Edit Rule '%s'","Szabály szerkesztése '%s'"
"Delete Rule","Szabály törlése"
"Apply Rules","Szabályok érvényesítése"
"Rules were successfully applied","Szabályok sikeresen elfogadva"
"Shipments","Szállítók"
"Order Shipments","Szállítók"
"Order Invoices","Számlák"
"Invoices","Számlák"
"Update product's %s %s: %s","Termék frissítés %s %s: %s"
"Product Attribute","Termék jellemzők"
"Stop further rules processing","További szabályok feldolgozásának leállítása"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Vannak szabályok amik megváltoztak de nem lettek érvényesítve. Kérem kattintson a szabályok elfogadása gombra, az azonnali változáshoz a katalógusban."
"Customer is new buyer: %s","Vásárló új vevő: %s"
"Customer registered: %s","Vásárló regisztrált: %s"
"Customer Groups","Vevő csoportok"
"Websites","Weboldalak"
