"* Select shipping method","* กรุณาเลือกวิธีการขนส่งสินค้า"
"Expiration: %s","การสิ้นสุด: %s"
"Google Checkout Shipping - Flat Rate","การส่งของ Google Checkout - อัตราคงที่"
"Google Checkout Shipping - Merchant Calculated","การส่งของ Google Checkout - ผู้ขายคำนวณราคา"
"Google Checkout Shipping - Carrier Calculated","การส่งของ Google Checkout - ผู้ขนส่งคำนวณราคา"
"Latest Refund: %s","การคืนเงินล่าสุด: %s"
"Google Refund:","การคืนเงินของ Google:"
"Latest Charge: %s","การเรียกเก็บเงินล่าสุด: %s"
"Financial: %s -> %s","การเงิน: %s -> %s"
"Google order status change:","การเปลี่ยนแปลงสถานะออเดอร์ของ:"
"Eligible for protection: %s","มีคุณสมบัติต้องคุ้มครอง: %s"
"Merchant ID","รหัสผู้ขาย"
"Google Buyer Id: %s","รหัสผู้ซื้อของ Google: %s"
"Virtual item to reflect discount total","รายการที่จับต้องไม่ได้ให้แสดงส่วนลดกลับทั้งหมด"
"Total Charged: %s","ราคาทั้งหมดที่เรียกเก็บ: %s"
"Default price:","ราคาเริ่มต้น:"
"Auto-generated from GoogleCheckout Charge","สร้างโดยอัตโนมัตจากการเรียกเก็บเงินของ GoogleCheckout"
"AVS Status: %s","สถานะ AVS: %s"
"CID Status: %s","สถานะ CID: %s"
"New order status","สถานะคำสั่งซื้อใหม่ใหม่"
"Location","สถานที่"
"Cart Discount","ส่วนลดรถเข็น"
"Checkout Image Style","สไตล์รูปสำหรับการ Checkout"
"Buyer account age: %s days","อายุบัญชีผู้ใช้ของผู้ซื้อ: %s days"
"Amount: %s","จำนวนเงิน: %s"
"Continue Shopping URL","ทำการเลือกซื้อสินค้าต่อที่ URL"
"Fulfillment: %s -> %s","ที่สำเร็จ: %s -> %s"
"Google Risk Information:","ข้อมูล Google Risk:"
"Total Refunded: %s","คืนเงินแล้วทั้งหมด: %s"
"Hide Cart Contents During Checkout","ซ่อนรถเข็นเมื่อต้องการที่จะ แจ้งออก"
"Invoice auto-created: %s","ใบส่งสินค้าที่สร้างโดยอัตโนมัติ: %s"
"Google Order Number: %s","เลขที่ออเดอร์ของ Google: %s"
"Enable","เปิดการใช้งาน"
"Optional, leave empty for home page.","เป็นตัวเลือก ปล่อยว่างไว้สำหรับหน้าแรก"
"CC Partial: xxxx-%s","CC บางส่วน: xxxx-%s"
"Debug","Debug"
"Google API","Google API"
"Google Authorization:","Google Authorization:"
"Google Charge:","Google เรียกเก็บ:"
"Google Checkout","Google Checkout"
"Google Checkout: %s","Google Checkout: %s"
"IP Address: %s","IP Address: %s"
"Merchant Key","Merchant Key"
"Sandbox","Sandbox"
