"(eg: domain.com/identifier)","(ex: domeniu.com/identificator)"
"Action","Acţiune"
"Add New Block","Adaugă secţiune nouă"
"Add New Page","Adaugă pagină nouă"
"All countries","Toate ţările"
"Block Information","Informaţii secţiune"
"Block Title","Titlu secţiune"
"Block was successfully deleted","Secţiunea a fost ştearsă cu succes"
"Block was successfully saved","Secţiunea a fost salvată cu succes"
"CMS","CMS"
"CMS Home Page","Pagina principală CMS"
"CMS No Route Page","Pagină CMS fără rută"
"Content","Conţinut"
"Custom Design","Design personalizat"
"Custom Theme","Temă personalizată"
"Custom Theme From","Temă personalizată de la"
"Custom Theme To","Temă personalizată la"
"Customer Tax Class Information","Informaţii clasă de taxe client"
"Date Created","Data creării"
"Delete Block","Şterge secţiune"
"Delete Page","Şterge pagină"
"Description","Descriere"
"Disabled","Dezactivat"
"Edit Block","Editează secţiune"
"Edit Block '%s'","Editează secţiune '%s'"
"Edit Page","Editează pagină"
"Edit Page '%s'","Editează pagină '%s'"
"Enabled","Activat"
"General Information","Informaţii generale"
"Go to Home Page","Du-te la pagina principală"
"Home","Acasă"
"Identifier","Identificator"
"Keywords","Cuvinte cheie"
"Last Modified","Modificat ultima dată"
"Layout","Layout"
"Layout Update XML","Actualizare layout XML"
"Manage Pages","Administrare pagini"
"Meta Data","Informaţii Meta"
"Meta Description","Descriere Meta"
"Meta Keywords","Cuvinte cheie Meta"
"New Block","Secţiune nouă"
"New Page","Pagină nouă"
"Page Identifier cannot consist only of numbers.","Identificatorul de pagină nu poate fi format doar din numere."
"Page Identifier for specified store already exist.","Identificatorul de pagină pentru magazinul specificat există deja."
"Page Information","Informaţii pagină"
"Page Status","Situaţie pagină"
"Page Title","Titlu pagină"
"Page was successfully deleted","Pagina a fost ştearsă cu succes"
"Page was successfully saved","Pagina a fost salvată cu succes"
"Poll Manager","Administrare sondaj"
"Product Tax Class Information","Informaţii clasă de taxe produs"
"SEF URL Identifier","Identificator SEF URL"
"Save Block","Salvează secţiune"
"Save Page","Salvează pagina"
"Show breadcrumbs for CMS pages","Arată calea completă pentru paginile CMS"
"Static Blocks","Secţiune statică"
"Status","Situaţie"
"Store View","Vizualizare magazin"
"Such a block identifier in selected store already exist.","Deja există în acest magazin un identificator de secţiune similar."
"The page you are trying to save no longer exists","Pagina pe care încercaţi să o salvaţi nu mai există"
"This block no longer exists","Această secţiune nu mai există"
"This page no longer exists","Această pagină nu mai există"
"Title","Titlu"
"Unable to find a block to delete","Secţiunea de şters nu poate fi găsită"
"Unable to find a page to delete","Pagina de şters nu poate fi găsită"
