"%s - Discounts and Coupons","%s - Discounturi şi cupoane"
"%s - Special Discounts","%s - Discounturi speciale"
"%s RSS Feed","%s Feed RSS"
"%s has reached a quantity of %s.","%s a atins o cantitate de %s."
"%s\'s Wishlist","Lista de dorinţe %s"
"Cannot retrieve the wishlist","Lista de dorinţe nu poate fi extrasă"
"Catalog","Catalog"
"Category Feeds","Feed-uri categorie"
"Comment: %s<br/>","Commentariu: %s<br/>"
"Coupons/Discounts","Cupoane/Discounturi"
"Current Status: %s<br/>","Situaţie curentă: %s<br/>"
"Customer Name: %s","Nume client: %s"
"Customer Order Status Notification","Notificare situaţie comandă client"
"Details for %s #%s","Detalii pentru %s #%s"
"Discount ","Reducere "
"Enable RSS","Activează RSS"
"Error in processing xml. %s","Eroare în timpul procesării xml. %s"
"From:","De la:"
"Get Feed","Primeşte feed RSS"
"Gift Message","Mesaj pentru cadou"
"Grand Total","Total final"
"Low Stock Products","Produse cu stoc limitat"
"Message:","Mesaj:"
"Miscellaneous Feeds","Feed-uri diverse"
"New Orders","Comenzi noi"
"New Products","Produse noi"
"New Products from %s","Produse noi de la %s"
"Notified Date: %s<br/>","Data notificării: %s<br/>"
"Order # %s Notification(s)","Notificări comandă # %s "
"Order #%s created at %s","Comandă #%s creată la %s"
"Pending product review(s)","Recenzii produse în aşteptare"
"Product: ""%s"" review By: %s","Produs: ""%s"" recenzie de către: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produs: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produse etichetate cu %s"
"Purchased From: %s","Cumpărat de la: %s"
"RSS","RSS"
"RSS Feeds","Feed-uri RSS"
"RSS testing","Testare RSS"
"Review: %s <br/>","Recenzie: %s <br/>"
"Rss Config","Configurare RSS"
"Rss Feeds Section","Secţiunea feed-uri RSS"
"Shipping & Handling","Livrare şi manipulare"
"Special Products","Produse speciale"
"Special/Discount Products","Produse speciale/cu reducere"
"Store: %s <br/>","Magazin: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Sumar al recenziei: %s <br/>"
"Tags Products","Etichete produse"
"Tax","Taxă"
"There are no Rss Feeds","Nu există feed-uri RSS"
"There are no Rss Feeds.","Nu există feed-uri RSS."
"To:","Către:"
"Top Level Category","Categorie nivel top"
"Total Products: %s","Total produse: %s"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Lista de dorinţe"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">aici</a> pentru a vedea recenzia"
